FECHA;HORA;DIRECCION;LATITUD;LONGITUD
2025-11-06;06:05:00;CL 51 SUR 80 A 65;4.61770207;-74.17184781
2025-11-06;00:34:00;CL 9 53 F 02;4.62773153;-74.11049789
2025-11-04;15:10:00;KR 78 G 51 SUR 02;4.61125015;-74.16726855
2025-11-05;15:18:00;KR 11 73 02;4.65835212;-74.05802315
2025-11-05;11:30:00;KR 10 B ESTE 24 A 2 SUR;4.56623966;-74.08335028
2025-11-07;17:47:00;CL 138 57 02;4.72746996;-74.06253756
2025-11-05;22:50:00;CL 197 PASEO DE LOS LIBERTADORES 02;4.77553399;-74.04243281
2025-11-19;11:20:00;AVENIDA BOYACA 117 C 02;4.70336319;-74.08089606
2025-11-13;04:10:00;AVENIDA TINTAL 26 SUR 02;4.64249619;-74.1637095
2025-11-12;03:59:00;KR 27 A 40 A 02;4.63069761;-74.0785451
2025-11-13;22:45:00;CL 37 SUR 72 J BIS 02;4.614454;-74.14131111
2025-11-10;06:15:00;KR 25 A 35 A SUR 02;4.58327284;-74.11892539
2025-09-23;14:00:00;CL 68 SUR 7 02;4.52437173;-74.08981194
2025-09-23;18:45:00;CL 57 B SUR 72 A 40;4.59960284;-74.16522739
2025-09-25;06:10:00;CL 48 SUR 26 02;4.58096088;-74.13061105
2025-09-23;14:50:00;KR 28 48 C SUR 02;4.58258249;-74.13242731
2025-09-24;17:10:00;KR 104 150 C 02;4.75001791;-74.09430844
2025-09-23;20:50:00;CL 80 24 02;4.66899792;-74.06338611
2025-09-25;13:41:00;KR 11 67 02;4.65275666;-74.06146079
2025-09-25;00:20:00;KR 88 C 56 SUR 02;4.62802509;-74.18659753
2025-09-25;07:40:00;CL 170 8 70;4.74718684;-74.02523388
2025-09-26;19:15:00;CL 41 D SUR 78 N 78;4.61968873;-74.15897028
2025-09-25;15:15:00;CL 61 SUR 15 ESTE 02;4.52985072;-74.08668841
2025-09-24;08:05:00;CL 57 R SUR 75 F 02;4.59699209;-74.1756129
2025-09-25;18:15:00;CL 6 8 02;4.59148765;-74.0804513
2025-09-26;13:25:00;KR 17 52 02;4.63993117;-74.06947789
2025-09-25;14:50:00;KR 30 63 02;4.65208734;-74.07833699
2025-09-27;09:15:00;CL 59 17 02;4.64677167;-74.06825263
2025-09-19;17:30:00;KR 19 A 63 A 02;4.65156361;-74.06931074
2025-09-18;19:05:00;CL 10 18 02;4.60369448;-74.08526611
2025-10-20;13:50:00;CL 138 58 38;4.72821064;-74.06436244
2025-11-05;05:15:00;CL 72 SUR 73 02;4.57852197;-74.16654813
2025-12-06;12:29:00;KR 50 5 32;4.61991233;-74.11217842
2025-12-08;15:09:00;TV 60 125 02;4.70883613;-74.0717724
2025-12-08;13:30:00;CL 76 A SUR 68 02;4.57268676;-74.1683112
2025-07-06;18:05:00;AVENIDA CIUDAD DE CALI CIUDAD DE VILLAVICENCIO 02;4.6284344;-74.17069154
2025-07-12;23:18:00;KR 95 A 57 A 52 SUR;4.63503058;-74.19347946
2025-07-12;23:30:00;AVENIDA BOYACA 24 02;4.66159622;-74.1158667
2025-07-11;15:27:00;KR 54 2 A 02;4.61682021;-74.12081463
2025-07-10;14:55:00;KR 3 ESTE 58 02;4.63980807;-74.05408177
2025-07-10;05:10:00;KR 27 H 71 B 22 SUR;4.55333457;-74.16043436
2025-07-12;01:05:00;CL 153 14 02;4.73323797;-74.03676085
2025-07-11;08:49:00;KR 19 11 02;4.60523825;-74.08597063
2025-07-11;09:30:00;KR 10 24 02;4.61072647;-74.07140969
2025-07-11;17:10:00;CL 20 43 A 02;4.62682916;-74.09952668
2025-07-11;09:30:00;KR 72 74 A 50;4.69010773;-74.09273741
2025-07-12;14:30:00;KR 23 D 60 A SUR 02;4.57031247;-74.1471426
2025-07-11;02:30:00;DG 42 A SUR 81 A 10;4.6257389;-74.16537979
2025-07-14;17:58:00;TV 60 100 02;4.68926792;-74.06523625
2025-07-15;08:30:00;AVENIDA PRIMERO DE MAYO 10 BIS 22 SUR;4.5762178;-74.0951642
2025-07-16;22:01:00;CL 38 A SUR 34 B 02;4.5915235;-74.12265317
2025-09-01;13:25:00;CL 43 SUR 12 F BIS A 02;4.56836561;-74.11627147
2025-09-01;11:45:00;KR 14 13 02;4.60221649;-74.07662257
2025-09-01;03:00:00;AVENIDA DE LAS AMERICAS 13;4.61644358;-74.11518786
2025-09-02;10:09:00;KR 45 153 02;4.73778313;-74.04862419
2025-09-02;19:36:00;KR 79 10 D 02;4.6445654;-74.14043403
2025-09-01;17:00:00;KR 50 A 128 B 02;4.71434694;-74.05750585
2025-09-01;17:15:00;KR 124 17 86;4.68788581;-74.16096291
2025-09-04;09:30:00;CL 85 15 02;4.6700896;-74.05528317
2025-09-04;09:55:00;KR 3 12 02;4.59691382;-74.07126618
2025-06-05;19:00:00;KR 86 90 02;4.71010757;-74.09455595
2025-06-06;18:30:00;KR 9 127 B 02;4.70504613;-74.03265449
2025-06-18;06:00:00;CL 12 B 21 B ESTE 02;4.56796905;-74.07072707
2025-06-24;00:22:00;KR 1 ESTE 22 02;4.60430311;-74.0651098
2025-06-21;17:20:00;AVENIDA DE LOS CERROS 38 02;4.62567637;-74.06585496
2025-07-01;05:30:00;CL 132 106 02;4.73673615;-74.10145033
2025-07-10;06:40:00;AU DEL NORTE 197 02;4.77528288;-74.04219501
2025-08-19;08:00:00;KR 45 114 02;4.69769603;-74.05522518
2025-08-25;08:50:00;CL 144 C 141 A 48;4.75320398;-74.11231058
2025-08-26;21:30:00;CL 72 91 A 02;4.69902633;-74.1103702
2025-08-25;08:24:00;KR 30 70 02;4.66501809;-74.07537339
2025-09-03;06:08:00;TV 24 I 13 SUR 02;4.59368049;-74.10373921
2025-09-02;20:40:00;CL 77 6 88;4.65933725;-74.05214009
2025-05-09;15:00:00;CL 122 52 02;4.7039251;-74.06059227
2026-02-05;02:30:00;CL 13 86 02;4.65939145;-74.13585941
2026-02-05;14:00:00;CL 69 7 02;4.65130745;-74.05756923
2025-09-11;17:39:00;CL 40 C SUR 72 K BIS 02;4.62079482;-74.15639707
2025-09-10;19:15:00;TV 73 A 81 D 02;4.69950161;-74.08962818
2025-09-18;17:46:00;CL 58 C BIS 84 02;4.6177118;-74.18519741
2025-09-21;01:15:00;CL 12 24 02;4.60869;-74.08926723
2025-09-18;13:50:00;KR 3 D 55 B SUR 02;4.5388007;-74.1148755
2025-09-18;17:35:00;CL 22 I 116 02;4.68798641;-74.14890809
2025-10-11;00:15:00;KR 111 B 64 C 02;4.70318141;-74.13276583
2025-10-13;19:50:00;KR 86 51 66;4.68096647;-74.11747674
2025-10-19;09:30:00;KR 69 24 SUR 02;4.61353504;-74.13237911
2025-10-25;17:35:00;KR 36 1 F 6;4.60500963;-74.10936697
2025-10-28;07:20:00;CL 55 SUR 19 A 02;4.567625;-74.13318572
2025-11-07;18:20:00;KR 86 C 51 A SUR 02;4.62599365;-74.17867952
2025-12-03;18:35:00;KR 7 108 02;4.68676897;-74.03512362
2025-12-01;18:15:00;CL 19 15 58;4.60912299;-74.07685702
2025-12-03;18:00:00;CL 6 8 02;4.59146631;-74.08045966
2025-12-06;23:26:00;KR 22 A 171 02;4.75187431;-74.04475303
2025-12-05;15:40:00;CL 12 36 02;4.61680426;-74.09848989
2025-12-06;14:50:00;KR 13 56 02;4.6431045;-74.06459187
2025-12-04;15:08:00;KR 86 80 02;4.70301033;-74.10097507
2025-12-16;12:58:00;CL 76 C SUR 6 02;4.51154349;-74.10889978
2026-01-09;00:25:00;KR 86 66 A 02;4.68976828;-74.10916368
2026-01-09;12:03:00;CL 17 137 A 02;4.69552253;-74.17018389
2026-01-28;20:50:00;CL 22 SUR 12 B 02;4.57877602;-74.09880297
2025-09-17;22:40:00;CL 71 SUR 80 J 02;4.60732443;-74.1938824
2025-09-17;14:50:00;KR 70 74 B 02;4.68696307;-74.08931326
2025-09-20;14:45:00;KR 80 2 51;4.63161679;-74.15516594
2025-09-18;14:50:00;KR 50 2 A 02;4.61186069;-74.11619271
2025-09-19;09:52:00;CL 6 68 5;4.62915381;-74.12332617
2025-09-21;20:50:00;CL 63 16 02;4.65000187;-74.06674472
2025-09-29;10:20:00;AVENIDA CIUDAD DE VILLAVICENCIO 49 02;4.57806338;-74.15619298
2025-10-06;11:30:00;AVENIDA CIUDAD DE CALI 1 B 02;4.63881028;-74.15808369
2025-10-03;05:30:00;KR 77 J 65 H SUR 02;4.59827291;-74.18556693
2025-10-06;12:45:00;AVENIDA DE LAS AMERICAS 53 02;4.62787395;-74.10893294
2025-10-06;09:40:00;KR 70 55 02;4.66993747;-74.10236227
2025-10-05;22:07:00;CL 75 113 02;4.71642055;-74.12592913
2025-10-28;16:00:00;CL 80 96 02;4.70804997;-74.11004096
2025-11-12;19:40:00;KR 7 57 02;4.64313586;-74.06191723
